,pheno3
404,9.763195606890909
188,5.48201108084102
139,7.864432109906453
1993,7.200990799191287
127,5.770986903409538
425,9.239498258355296
694,7.526823086447258
288,7.03775661922831
1616,9.391781224492057
1760,6.173853965396198
1102,9.596580979658006
1301,8.547871882208902
1577,4.84538389729613
566,10.859786911140484
659,6.71786974170467
532,6.710328074950141
1565,7.353991683525666
1137,6.414451199179885
1330,6.661104359763767
964,14.367458987511212
1121,6.099457032076368
136,5.998149499028184
1046,11.71084205885758
565,7.022088721469895
543,7.695887947798216
251,1.952684805536483
1990,7.520292148040083
469,15.934267782982763
763,4.913654262005656
1618,9.594083723408763
1595,7.444648194816653
1401,7.842929802928171
1387,14.978329466235092
558,5.832255783887234
337,12.198454831507828
481,5.74779255422535
906,15.435838989667827
1202,8.617947317992552
803,7.364254792369914
352,11.855339430952595
1408,6.107998861811007
1053,7.674667533855278
863,5.635034820853663
896,13.794582807980078
1009,6.788644082475525
401,9.673574018151516
394,9.061983105044716
1878,8.09045987613684
164,4.790633783177464
993,9.025886540242944
574,12.43559557789604
1464,5.120679821957977
780,4.540429790301758
1429,11.06443263181931
568,8.654348479255423
12,7.321490717113907
106,7.205785291408103
1658,3.2250397530404755
931,14.419480899884036
1196,10.269562940547749
1578,5.723296978680512
547,4.8872156843783205
1845,11.818434520240846
509,9.50611609138599
609,5.880471381349248
559,8.060748021509287
1003,5.747809409682088
1871,7.890417244265947
423,13.854527070557982
1651,6.503322231434488
1322,7.7405158738192945
520,7.3004427707339055
27,1.86788910997542
1556,10.549040921780266
1773,12.863746531828912
1467,5.253427178449043
1278,8.027264253010012
305,13.461646916152262
1720,4.755887883497974
1272,12.535859141682302
1088,6.500578865767094
54,7.13290325532447
1061,7.700846267342721
951,16.035381892652907
1249,5.565677684978321
1810,10.805799193742727
1743,7.833572279631941
1158,9.30491099873533
1590,7.892407624432169
167,10.081268860804713
129,6.215339082317479
1608,6.047599805377041
1592,5.938694851696653
1273,7.5158629678024
1140,6.182912551416645
996,9.326369802227028
1400,14.880008220842392
551,6.486127588172872
953,15.513610599794262
626,6.054275745951663
664,5.519128252171176
1776,10.061430990910726
1695,5.186594601098019
1843,8.600491871635388
1560,9.018865103968963
1838,10.689278178511916
334,7.554599180548108
1142,10.151408786074985
241,10.026795791356012
1818,11.583109099098236
1118,7.728770920064089
1730,4.807794207406129
351,7.024261329495102
1281,11.53033436899912
1243,11.696844151097237
213,12.314668271467175
1708,9.504300724696844
1077,10.60183619345278
1682,6.551049618126733
795,8.74705285382657
87,10.946652869659394
431,13.670344864677006
590,9.79996028938283
1421,6.185882010965759
1533,4.226494714953391
1605,10.889030310221484
1732,3.149534620158474
635,14.222765727311394
1159,9.46749798697109
46,10.925619539096068
1226,9.133323093934129
1386,9.515250558734024
1707,7.123530869524001
330,10.997597241757152
995,10.81985904912055
1572,3.945510134354756
49,8.532935082939764
169,9.1445567140189
769,10.589547978915924
1207,7.518373804361687
560,6.266538336667998
1017,11.50811407860954
1492,5.464164712672032
1193,8.339884468038878
836,8.006193075093163
1206,12.609376233276262
1034,4.182160391720847
1020,7.247031191209013
983,15.101491956498895
252,12.602306025238809
262,5.072604638941269
1691,5.24521863172987
1338,4.593285534095585
1983,7.364024458172657
1125,6.147078875296845
130,9.59478441039982
1451,4.530528313549517
1179,8.271252016492987
1156,6.689476841688263
632,3.1369709051302106
363,13.645953677337856
322,10.807526341054142
798,7.485507989395206
